,Close,Volume,Open,High,Low
2024-05-29 00:00:00+00:00,68316.63588049631,31278122196.184998,68316.63588049631,68316.63588049631,68316.63588049631
2024-05-29 01:00:00+00:00,68285.82878505728,0.0,68316.63588049631,68285.82878505728,68285.82878505728
2024-05-29 02:00:00+00:00,68255.02168961825,0.0,68285.82878505728,68255.02168961825,68255.02168961825
2024-05-29 03:00:00+00:00,68224.21459417923,0.0,68255.02168961825,68224.21459417923,68224.21459417923
2024-05-29 04:00:00+00:00,68193.4074987402,0.0,68224.21459417923,68193.4074987402,68193.4074987402
2024-05-29 05:00:00+00:00,68162.60040330117,0.0,68193.4074987402,68162.60040330117,68162.60040330117
2024-05-29 06:00:00+00:00,68131.79330786214,0.0,68162.60040330117,68131.79330786214,68131.79330786214
2024-05-29 07:00:00+00:00,68100.98621242311,0.0,68131.79330786214,68100.98621242311,68100.98621242311
2024-05-29 08:00:00+00:00,68070.17911698409,0.0,68100.98621242311,68070.17911698409,68070.17911698409
2024-05-29 09:00:00+00:00,68039.37202154506,0.0,68070.17911698409,68039.37202154506,68039.37202154506
2024-05-29 10:00:00+00:00,68008.56492610603,0.0,68039.37202154506,68008.56492610603,68008.56492610603
2024-05-29 11:00:00+00:00,67977.757830667,0.0,68008.56492610603,67977.757830667,67977.757830667
2024-05-29 12:00:00+00:00,67946.95073522798,0.0,67977.757830667,67946.95073522798,67946.95073522798
2024-05-29 13:00:00+00:00,67916.14363978893,0.0,67946.95073522798,67916.14363978893,67916.14363978893
2024-05-29 14:00:00+00:00,67885.3365443499,0.0,67916.14363978893,67885.3365443499,67885.3365443499
2024-05-29 15:00:00+00:00,67854.52944891088,0.0,67885.3365443499,67854.52944891088,67854.52944891088
2024-05-29 16:00:00+00:00,67823.72235347185,0.0,67854.52944891088,67823.72235347185,67823.72235347185
2024-05-29 17:00:00+00:00,67792.91525803282,0.0,67823.72235347185,67792.91525803282,67792.91525803282
2024-05-29 18:00:00+00:00,67762.1081625938,0.0,67792.91525803282,67762.1081625938,67762.1081625938
2024-05-29 19:00:00+00:00,67731.30106715477,0.0,67762.1081625938,67731.30106715477,67731.30106715477
2024-05-29 20:00:00+00:00,67700.49397171574,0.0,67731.30106715477,67700.49397171574,67700.49397171574
2024-05-29 21:00:00+00:00,67669.68687627671,0.0,67700.49397171574,67669.68687627671,67669.68687627671
2024-05-29 22:00:00+00:00,67638.87978083768,0.0,67669.68687627671,67638.87978083768,67638.87978083768
2024-05-29 23:00:00+00:00,67608.07268539866,0.0,67638.87978083768,67608.07268539866,67608.07268539866
2024-05-30 00:00:00+00:00,67577.26558995963,24320692137.62038,67608.07268539866,67577.26558995963,67577.26558995963
2024-05-30 01:00:00+00:00,67610.40006055885,0.0,67577.26558995963,67610.40006055885,67610.40006055885
2024-05-30 02:00:00+00:00,67643.53453115807,0.0,67610.40006055885,67643.53453115807,67643.53453115807
2024-05-30 03:00:00+00:00,67676.66900175728,0.0,67643.53453115807,67676.66900175728,67676.66900175728
2024-05-30 04:00:00+00:00,67709.8034723565,0.0,67676.66900175728,67709.8034723565,67709.8034723565
2024-05-30 05:00:00+00:00,67742.93794295573,0.0,67709.8034723565,67742.93794295573,67742.93794295573
2024-05-30 06:00:00+00:00,67776.07241355495,0.0,67742.93794295573,67776.07241355495,67776.07241355495
