Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2023-05-29 16:00:00+00:00,1891.6214599609375,1894.8116455078125,1890.856689453125,1891.690185546875,0
2023-05-29 20:00:00+00:00,1893.0887451171875,1900.5777587890625,1887.6517333984375,1891.59912109375,0
2023-05-30 00:00:00+00:00,1902.8731689453125,1906.373779296875,1883.9346923828125,1893.0931396484375,0
2023-05-30 04:00:00+00:00,1899.8096923828125,1904.968994140625,1893.9263916015625,1901.9718017578125,4184576
2023-05-30 08:00:00+00:00,1916.1392822265625,1916.574951171875,1898.9796142578125,1898.9796142578125,269881344
2023-05-30 12:00:00+00:00,1901.0162353515625,1916.44091796875,1895.62255859375,1916.2012939453125,364244992
2023-05-30 16:00:00+00:00,1906.98974609375,1911.060302734375,1893.98828125,1900.7689208984375,90333696
2023-05-30 20:00:00+00:00,1901.029052734375,1913.14892578125,1898.7236328125,1908.3035888671875,120053760
2023-05-31 00:00:00+00:00,1897.5057373046875,1907.035400390625,1888.1484375,1901.0982666015625,205916672
2023-05-31 04:00:00+00:00,1870.1337890625,1898.074951171875,1860.3719482421875,1897.724609375,907059712
2023-05-31 08:00:00+00:00,1865.634033203125,1873.2781982421875,1863.480712890625,1869.1463623046875,109455872
2023-05-31 12:00:00+00:00,1859.2113037109375,1875.613525390625,1852.0947265625,1865.5936279296875,167753728
2023-05-31 16:00:00+00:00,1866.032470703125,1869.1522216796875,1855.110107421875,1858.243408203125,8908288
2023-05-31 20:00:00+00:00,1874.042236328125,1877.1456298828125,1861.9766845703125,1863.4990234375,27998208
2023-06-01 00:00:00+00:00,1855.578369140625,1887.705322265625,1846.2274169921875,1873.9146728515625,789473280
2023-06-01 04:00:00+00:00,1854.819580078125,1859.086669921875,1852.19287109375,1855.47607421875,0
2023-06-01 08:00:00+00:00,1861.1624755859375,1864.4580078125,1852.6123046875,1854.577392578125,0
2023-06-01 12:00:00+00:00,1862.46337890625,1867.0272216796875,1857.4766845703125,1861.573974609375,48182272
2023-06-01 16:00:00+00:00,1869.20654296875,1878.9384765625,1860.1434326171875,1863.12109375,325439488
2023-06-01 20:00:00+00:00,1861.7320556640625,1873.3035888671875,1855.502685546875,1869.350341796875,87539712
2023-06-02 00:00:00+00:00,1878.7799072265625,1879.8585205078125,1851.9647216796875,1862.4237060546875,0
2023-06-02 04:00:00+00:00,1886.22802734375,1896.623291015625,1876.5675048828125,1878.8651123046875,397539840
2023-06-02 08:00:00+00:00,1894.909423828125,1896.95849609375,1886.2744140625,1886.2744140625,210567680
2023-06-02 12:00:00+00:00,1892.992919921875,1898.3701171875,1878.61376953125,1895.135498046875,462054400
2023-06-02 16:00:00+00:00,1908.320068359375,1910.2784423828125,1887.880126953125,1892.6751708984375,230306816
2023-06-02 20:00:00+00:00,1907.21240234375,1910.1824951171875,1903.369384765625,1907.97900390625,21768704
2023-06-03 00:00:00+00:00,1900.422607421875,1908.822265625,1899.7509765625,1907.4207763671875,0
2023-06-03 04:00:00+00:00,1903.283447265625,1905.775634765625,1898.6966552734375,1900.24951171875,0
2023-06-03 08:00:00+00:00,1904.331298828125,1907.1373291015625,1900.633544921875,1903.293212890625,0
2023-06-03 12:00:00+00:00,1904.2669677734375,1906.8572998046875,1895.1805419921875,1904.2967529296875,95039744
2023-06-03 16:00:00+00:00,1886.269287109375,1904.0606689453125,1885.87353515625,1904.0606689453125,73981952
2023-06-03 20:00:00+00:00,1891.9320068359375,1892.933349609375,1885.4854736328125,1886.6243896484375,10093312
2023-06-04 00:00:00+00:00,1894.51953125,1895.10498046875,1885.65185546875,1892.398193359375,13000192
2023-06-04 04:00:00+00:00,1900.71630859375,1901.06494140625,1891.7142333984375,1894.6512451171875,28519680
2023-06-04 08:00:00+00:00,1903.2984619140625,1907.7359619140625,1899.0250244140625,1900.41357421875,107702784
2023-06-04 12:00:00+00:00,1903.2493896484375,1912.2056884765625,1901.18115234375,1903.4822998046875,244674560
2023-06-04 16:00:00+00:00,1905.072998046875,1905.8309326171875,1897.873291015625,1902.5269775390625,37616128
2023-06-04 20:00:00+00:00,1890.228759765625,1910.916015625,1887.287841796875,1905.3577880859375,525583360
2023-06-05 00:00:00+00:00,1869.95166015625,1890.6405029296875,1869.2052001953125,1890.4176025390625,764612096
